2.60, 9.83 * 1E-21, 7.08 * 1E-21, 3.08 * 1E-21
2.60, 9.83 * 1E-21, 7.08 * 1E-21, 3.08 * 1E-21
2.60, 9.83 * 1E-21, 7.08 * 1E-21, 3.08 * 1E-21
